# Kembung Busuk         (0)
kembung_busuk = [1,1,1,0,0,0,0,0,0,1,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,0,5,5,1,5,0,5,0,3,1,1,1,5,1,0,1,1,5] 

# Kembung Sangat Busuk  (1)
kembung_sangat_busuk = [1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,5,5,1,1,5,1,5,5,1,1,5,5,1,1,5,1,1,1,5,1] 

# Kembung Sangat Segar  (2)
kembung_sangat_segar = [2,2,3,2,3,2,2,3,2,3,2,2,2,2,3,2,2,2,2,2,2,3,2,3,2,2,2,3,3,2,2,2,2,7,2,3,2,3,2,3,2,2,3,7,3,5,3,2,3,2] 

# Kembung Segar         (3)
kembung_segar = [3,3,3,0,0,3,5,5,3,3,3,3,3,0,3,3,3,0,0,0,0,0,3,5,5,3,3,3,3,3,3,3,3,7,5,2,7,3,3,3,2,6,6,7,1,3,3,2,3,0] 

# Como Busuk            (4)
como_busuk = [4,5,4,4,5,4,5,4,5,4,5,4,4,4,4,4,4,5,4,4,4,5,4,4,5,4,4,4,5,4,4,4,5,5,5,5,5,4,5,5,5,4,4,5,5,4,5,4,5,4] 

# Como Sangat Busuk     (5)
como_sangat_busuk = [1,5,4,4,5,5,4,1,5,5,5,5,1,5,5,4,5,5,1,5,5,0,5,5,4,1,5,5,5,5,4,5,5,5,1,5,5,4,5,5,5,1,5,5,4,5,1,5,1,5] 

# Como Sangat Segar     (6)
como_sangat_segar = [7,6,6,6,6,6,6,6,6,6,6,6,2,6,7,6,6,6,6,6,6,5,6,4,6,6,2,6,6,6,7,7,6,7,7,6,6,6,6,4,4,4,6,4,7,6,4,4,7,4] 

# Como Segar            (7)
como_segar = [7,7,7,3,4,7,4,7,7,4,7,7,7,7,4,7,5,7,7,4,7,4,7,7,7,7,7,7,7,7,4,7,4,4,7,4,4,7,7,7,4,4,5,4,4,4,4,4,4,5] 
